date;steps;distance;calories;heart_rate
27.04.2016;4948;3242;281;74
28.04.2016;16573;12060;751;72
29.04.2016;18002;12916;737;75
30.04.2016;4126;2981;207;73
01.05.2016;3869;2651;244;70
02.05.2016;10004;7330;426;71
03.05.2016;14565;11022;616;73
04.05.2016;6295;4341;315;74
05.05.2016;12424;10207;587;75
06.05.2016;7964;5736;345;72
07.05.2016;9518;7071;456;72
08.05.2016;4088;3119;197;73
09.05.2016;1958;1266;134;70
10.05.2016;4534;2974;270;71
11.05.2016;2569;1661;198;75
12.05.2016;10398;7728;500;74
13.05.2016;4276;2809;251;70
14.05.2016;4591;3314;264;71
15.05.2016;3164;2094;190;70
16.05.2016;5880;4415;253;70
17.05.2016;2499;1615;135;75
18.05.2016;7824;5584;387;73
19.05.2016;9053;6697;431;74
20.05.2016;12367;8560;614;70
21.05.2016;11307;8250;454;70
22.05.2016;1531;990;119;70
23.05.2016;2585;1671;165;71
24.05.2016;12141;8997;529;72
25.05.2016;9159;6433;455;70
26.05.2016;15682;11175;667;70
27.05.2016;16859;11675;698;70
28.05.2016;1480;957;108;72
29.05.2016;19521;13842;805;73
30.05.2016;4950;3603;214;73
31.05.2016;3575;2313;239;70
01.06.2016;11677;8641;535;74
02.06.2016;3755;2918;187;72
03.06.2016;5117;3402;245;74
04.06.2016;5896;3947;311;71
05.06.2016;3294;2129;205;73
06.06.2016;7644;5372;366;73
07.06.2016;9196;6306;434;72
08.06.2016;11668;8231;482;75
09.06.2016;4698;3037;290;73
10.06.2016;13407;9340;631;73
11.06.2016;10886;7569;491;71
12.06.2016;3912;2529;248;72
13.06.2016;9188;6839;381;72
14.06.2016;5231;3502;280;75
15.06.2016;13878;10191;603;73
16.06.2016;11051;7398;483;73
17.06.2016;8004;5495;412;70
18.06.2016;30386;21052;1104;72
19.06.2016;37375;26057;1333;73
20.06.2016;26579;18860;1015;70
21.06.2016;29694;21190;1114;73
22.06.2016;23866;16846;861;72
23.06.2016;30013;21454;1051;74
24.06.2016;21101;14760;889;71
25.06.2016;22026;15974;855;72
26.06.2016;1895;1225;133;73
27.06.2016;7038;4929;418;75
28.06.2016;13270;9506;608;73
29.06.2016;9896;6819;456;72
30.06.2016;13112;8948;590;74
01.07.2016;15140;10834;647;73
02.07.2016;2522;1630;204;70
03.07.2016;10103;7013;466;70
04.07.2016;20349;14639;796;71
05.07.2016;9983;7257;442;72
06.07.2016;20540;14902;799;71
07.07.2016;7053;5149;352;70
08.07.2016;4499;2980;229;70
09.07.2016;5678;4233;293;70
10.07.2016;11777;8557;464;71
11.07.2016;3154;2159;206;71
12.07.2016;20699;14186;778;71
13.07.2016;16828;11917;705;75
14.07.2016;14564;10617;629;71
15.07.2016;27465;19750;1168;74
16.07.2016;7126;5318;345;74
17.07.2016;3530;2424;222;72
18.07.2016;19395;13484;893;72
19.07.2016;22027;16025;932;71
20.07.2016;14825;10500;618;75
21.07.2016;28426;20409;1151;75
22.07.2016;21696;15552;918;73
23.07.2016;821;531;80;70
24.07.2016;11925;8904;533;75
25.07.2016;19729;13917;855;73
26.07.2016;24865;17352;1024;74
27.07.2016;17319;12215;817;71
28.07.2016;22108;15701;938;73
29.07.2016;27582;19790;1122;73
30.07.2016;13132;9147;589;70
31.07.2016;16795;11847;652;70
01.08.2016;27038;19214;1160;72
02.08.2016;14171;9976;585;70
03.08.2016;11759;8512;515;70
04.08.2016;22070;15257;940;71
05.08.2016;14260;10770;628;74
06.08.2016;11559;7930;563;73
07.08.2016;12764;8931;496;74
08.08.2016;27581;19889;1171;75
09.08.2016;26044;18875;1055;70
10.08.2016;12709;9274;550;72
11.08.2016;12728;8866;527;75
12.08.2016;20143;14325;857;72
13.08.2016;8596;5886;412;70
14.08.2016;8501;6015;421;74
15.08.2016;14931;11065;676;70
